Device Type	Instrument Type	Fixture ID	__OldInstType	__GoboData	__ColorData	__ColorFlagData	Fixture Mode	__OldFixtureMode	__VisionLitOverride	__VisionFixtureName	__GDTFFixtureMode	__GDTFFixtureTypeID	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	Address	Universe	U Address	Circuit Number	Circuit Name	System	User Field 1	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Voltage	BreakerID	Time	Cost	Num Channels	Frame Size	Field Angle	Field Angle 2	Beam Angle	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw Beam	Draw Beam as 3D Solid	Use Vertical Beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	Symbol Name	Use Legend	3D Legend View	Flip Top & Bottom 3D Legend	Flip Left & Right 3D Legend	Rotate 3D Legend with Z Rotation	Flip Front & Back 2D Legend	Flip Left & Right 2D Legend	Focus	Set 3D Orientation	X Rotation	Y Rotation	Enable Z Rotation	Z Rotation	Vertical Focus Angle	Horizontal Focus Angle	Angle To Face	Off Axis Angle	Throw Distance	__Ganged With	X Location	Y Location	Z Location	__UID	Accessories
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	2nd Elec	7	R339	-	64	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-84'6.186"	9'2.733"	0"	2129.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	4th Elec	3	R339	-	67	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-93'6.149"	13'11"	0"	2130.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	2nd Elec	3	R339	-	62	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-93'6.149"	9'2.733"	0"	2131.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	2nd Elec	11	R339	-	66	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-75'6.619"	9'2.733"	0"	2132.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	5th Elec	6	R339	-	74	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-86'.898"	16'7 1/2"	0"	2133.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	4th Elec	9	R339	-	69	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-81'6.659"	13'11"	0"	2134.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	4th Elec	7	R339	-	68	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-87'6.3"	13'11"	0"	2135.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Warm Backlight	6th Elec	3	R339	-	71	-	-	-	-	3	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-89'.11"	18'11.123"	0"	2136.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	6th Elec	6	R83	-	92	-	-	-	-	6	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-83'.723"	18'11"	0"	2137.1.1.0.0	-
Light	S4 PAR WFL	-	-	-	-	-	Unknown	Unknown	False	-	-	0	575W	Cool Backlight	2nd Elec	6	R83	-	83	-	-	-	-	-	-	-	-	-	-	-	-	0	-	0	0	1	7.5"	37.00°	17.00°	20.00°	12.00°	7.5lbs	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Source 4 PAR WFL	Back	None	False	False	False	False	False	-	False	0	0	False	0	0	0	0	0	0	-	-87'6.149"	9'2.733"	0"	2138.1.1.0.0	-
